1 1 0.200000 1000. -0.334842 0.818458 -0.396925
2 1 0.200000 1000. -0.387302 0.673989 -0.080468
3 1 0.200000 1000. -0.398025 0.570937 -0.260414
4 1 0.200000 1000. -0.069187 0.619604 -0.390472
5 1 0.200000 1000. 0.041060 0.745285 -0.022020
6 1 0.200000 1000. -0.114829 0.833577 -0.285390
7 1 0.200000 1000. -0.180880 0.534999 -0.224107
8 1 0.200000 1000. 0.014075 0.557620 -0.160960
9 1 0.200000 1000. -0.133373 0.531194 0.004371
10 1 0.200000 1000. -0.340825 1.032480 -0.270705
11 1 0.200000 1000. -0.312531 1.011115 0.007031
12 1 0.200000 1000. -0.306642 1.269620 -0.226836
13 1 0.200000 1000. -0.396269 1.424712 -0.026098
14 1 0.200000 1000. -0.334241 1.674430 -0.062875
15 1 0.200000 1000. -0.043092 1.277436 -0.341309
16 1 0.200000 1000. -0.164391 1.084331 -0.380719
17 1 0.200000 1000. 0.051367 0.963504 -0.102330
18 1 0.200000 1000. -0.026065 1.102489 -0.225329
19 1 0.200000 1000. 0.017693 1.561065 -0.396171
20 1 0.200000 1000. -0.045238 1.303520 0.027531
21 1 0.200000 1000. -0.241959 1.513704 -0.286304
22 1 0.200000 1000. -0.119637 1.416972 -0.149341
23 1 0.200000 1000. 0.036941 1.547168 -0.095312
24 1 0.200000 1000. -0.384545 0.734612 0.249417
25 1 0.200000 1000. -0.378711 0.555270 0.133087
26 1 0.200000 1000. -0.181560 0.707351 0.136422
27 1 0.200000 1000. -0.024609 0.836603 0.322696
28 1 0.200000 1000. -0.237192 0.528009 0.341081
29 1 0.200000 1000. -0.233654 0.828190 0.383277
30 1 0.200000 1000. -0.019839 0.569716 0.375917
31 1 0.200000 1000. -0.358687 0.985501 0.222911
32 1 0.200000 1000. -0.300733 1.135169 0.367524
33 1 0.200000 1000. -0.308494 1.279432 0.106421
34 1 0.200000 1000. -0.342028 1.650734 0.248456
35 1 0.200000 1000. -0.110476 1.036685 0.349752
36 1 0.200000 1000. -0.061301 1.119533 0.160991
