LIGGGHTS (Version LIGGGHTS-PUBLIC 3.8.0, compiled 2024-03-31-20:10:17 by buildd, git commit unknown)
Reading data file ...
  orthogonal box = (-1 -1 -1) to (1 7 1)
  1 by 1 by 1 MPI processor grid
  100 atoms

Reading STL file 'wall.stl' (mesh processing step 1/3) 
Setting up run at Sun Mar 15 12:26:25 2026

Mesh cad: 1 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (./src/surface_mesh_I.h:657)
WARNING: Mesh cad: proc 0 has 1 element pairs that are coplanar, share an edge and overlap (but are not duplicate)
Import and parallelization of mesh cad containing 2498 triangle(s) successful
Memory usage per processor = 14.4494 Mbytes
    Step    Atoms         KinEng            CPU 
  153000      100      3.6991086      14.264318 
  154000      100      3.7503134      14.360694 
  155000      100      3.7952254      14.461465 
  156000      100      3.8583843      14.559684 
  157000      100      3.8753431      14.659564 
  158000      100      3.9373784       14.75824 
  159000      100      3.9670137      14.875892 
  160000      100      4.0207377      14.998133 
  161000      100      4.0041494      15.104144 
  162000      100      3.9916074       15.20898 
  163000      100      4.0241747      15.311345 
  164000      100      4.0056687      15.410754 
  165000      100      4.0550729      15.508074 
  166000      100      4.0974253      15.610447 
  167000      100       4.141059      15.715289 
  168000      100      4.1806856      15.816682 
  169000      100      4.2173699      15.919951 
  170000      100      4.2584638      16.024419 
  171000      100      4.2998101      16.130227 
  172000      100      4.3496475      16.235054 
  173000      100      4.3920113      16.340404 
  174000      100      4.4458452       16.47089 
  175000      100      4.4766045      16.592572 
  176000      100      4.4038995      16.706809 
  177000      100      4.4209172      16.822974 
  178000      100      4.4422085      16.928788 
  179000      100      4.4567222      17.033654 
  180000      100      4.4951811      17.138503 
  181000      100       4.519156      17.246547 
  182000      100      4.5081669      17.351338 
  183000      100      4.5687197      17.460187 
  184000      100      4.5829599      17.562097 
  185000      100      4.6490607       17.66296 
  186000      100      4.7184037      17.770791 
  187000      100      4.7695598      17.876667 
  188000      100        4.79636      17.982093 
  189000      100      4.7575128      18.136554 
  190000      100      4.7795619      18.250774 
  191000      100      4.8256239      18.359998 
  192000      100      4.8480857      18.472814 
  193000      100      4.8727377      18.594987 
  194000      100      4.9251557      18.712991 
  195000      100      4.9692051      18.827181 
  196000      100      5.0169521        18.9405 
